country_name,airport_name,length_ft,width_ft,runway_type
Turks and Caicos Islands,Pine Cay Airport,2533,,Shortest
Tuvalu,Funafuti International Airport,5040,,Longest
Tuvalu,Funafuti International Airport,5040,,Shortest
Uganda,Entebbe International Airport,12000,150.0,Longest
Uganda,Soroti Airport,2525,98.0,Shortest
Ukraine,Donetsk Sergei Prokofiev International Airport,13123,196.0,Longest
Ukraine,Boryspil International Airport,13123,197.0,Longest
Ukraine,Odessa International Airport,1815,197.0,Shortest
United Arab Emirates,Al Maktoum International Airport,14764,197.0,Longest
United Arab Emirates,Al Saqr Field,2625,49.0,Shortest
United Kingdom,London Heathrow Airport,12799,164.0,Longest
United Kingdom,Andrewsfield,0,0.0,Shortest
United States,Gunflint Seaplane Base,30000,5000.0,Longest
United States,Trinity Medical Center Heliport,4,40.0,Shortest
United States Minor Outlying Islands,Wake Island Airfield,9843,150.0,Longest
United States Minor Outlying Islands,Henderson Field,7904,200.0,Shortest
Uruguay,Carrasco International /General C L Berisso Airport,10499,148.0,Longest
Uruguay,Aeroclub Canelones,1476,98.0,Shortest
U.S. Virgin Islands,Henry E Rohlsen Airport,10004,150.0,Longest
U.S. Virgin Islands,Charlotte Amalie Harbor Seaplane Base,4000,4000.0,Shortest
Uzbekistan,Tashkent International Airport,13123,197.0,Longest
Uzbekistan,Yakkatu Airport,1312,33.0,Shortest
Vanuatu,Bauerfield International Airport,8530,148.0,Longest
Vanuatu,Tavie Airport,1968,98.0,Shortest
Venezuela,Simón Bolívar International Airport,11483,148.0,Longest
Venezuela,San Tomé Airport,1785,90.0,Shortest
Vietnam,Tan Son Nhat International Airport,12468,148.0,Longest
Vietnam,Đảo Trường Sa (Spratly Island) Airport,1970,,Shortest
Wallis and Futuna,Hihifo Airport,6890,148.0,Longest
Wallis and Futuna,Pointe Vele Airport,3609,,Shortest
Western Sahara,Smara Airport,9850,100.0,Longest
Western Sahara,Hassan I Airport,8202,148.0,Shortest
Yemen,Sadah Airport,11483,,Longest
Yemen,Beihan Airport,5480,75.0,Shortest
Zambia,Kenneth Kaunda International Airport,12998,150.0,Longest
Zambia,Kenneth Kaunda International Airport,2700,100.0,Shortest
Zimbabwe,Robert Gabriel Mugabe International Airport,15502,151.0,Longest
Zimbabwe,Marondera Airport,2625,30.0,Shortest
